;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;
OHI_ADJ;Ohioan;;;;;;;;;;;;;;
OHI;Ohio;;;;;;;;;;;;;;
OHI_democracy;Ohioan Republic;;;;;;;;;;;;;x;;
OHI_bourgeois_dictatorship;Ohio;;;;;;;;;;;;;;
OHI_absolute_monarchy;The Empire of Ohio;;;;;;;;;;;;x
OHI_prussian_constitutionalism;The Ohioan Empire;;;;;;;;;;;;x
OHI_hms_government;Greater Ohio;;;;;;;;;;;;x
OHI_proletarian_dictatorship;Ohio Anarchist Zone;;;;;;;;;;;;x
OHI_socialist;Workingmen's Party;;;;;;;;;;;;x
OHI_communist;People's Republic of Ohio;;;;;;;;;;;;x
OHI_fascist;Silver Legions of Ohio;;;;;;;;;;;;x
NWJ;New Jersey;;;;;;;;;;;;;;
NWJ_ADJ;New Jerseyan;;;;;;;;;;;;;;
NWJ_bourgeois_dictatorship;New Jersey;;;;;;;;;;;;;;
NWJ_absolute_monarchy;The Empire of New Jersey;;;;;;;;;;;;x
NWJ_prussian_constitutionalism;The New Jerseyan Empire;;;;;;;;;;;;x
NWJ_hms_government;Greater New Jersey;;;;;;;;;;;;x
NWJ_proletarian_dictatorship;New Jersey Anarchist Zone;;;;;;;;;;;;x
NWJ_socialist;Workingmen's Party;;;;;;;;;;;;x
NWJ_communist;People's Republic of New Jersey;;;;;;;;;;;;x
NWJ_fascist_dictatorship;The State of New Jersey;;;;;;;;;;;;;x;
NWJ_fascist;Silver Legions of New Jersey;;;;;;;;;;;;x
KEN;Kentucky;;;;;;;;;;;;;;
KEN_ADJ;Kentucker;;;;;;;;;;;;;;
KEN_bourgeois_dictatorship;State of Kentucky;;;;;;;;;;;;;;
KEN_absolute_monarchy;Kentucko-Tennessee;;;;;;;;;;;;x
KEN_prussian_constitutionalism;The Kingdom of Kentucky;;;;;;;;;;;;x
KEN_hms_government;The Kingdom of Kentucky;;;;;;;;;;;;x
KEN_proletarian_dictatorship;People's Republic of Kentucky;;;;;;;;;;;;x
KEN_socialist;Workingmen's Party;;;;;;;;;;;;x
KEN_communist;Kentucky Soviet;;;;;;;;;;;;x
KEN_fascist;Kentucker Blackshirts;;;;;;;;;;;;x
KEN_fascist_dictatorship;The State of Kentucky;;;;;;;;;;;;;x;
ULA;Louisiana;;;;;;;;;;;;;x;;
ULA_colonial_company;Dominion of Louisana;;;;;;;;;;;;;x;;
ULA_dominion;Dominion of Louisana;;;;;;;;;;;;;x;;
ULA_absolute_monarchy;The Kingdom of Long;;;;;;;;;;;;;x;;
ULA_prussian_constitutionalism;Louisiana;;;;;;;;;;;;;x;;
ULA_hms_government;The Kingdom of Long;;;;;;;;;;;;;x;;
ULA_democracy;Louisiane;;;;;;;;;;;;;x;;
ULA_proletarian_dictatorship;The Cajun Communes;;;;;;;;;;;;x;;
ULA_presidential_dictatorship;The State of Louisiane;;;;;;;;;;;;;x;;
ULA_bourgeois_dictatorship;The State of Louisiana;;;;;;;;;;;;;;x
ULA_fascist_dictatorship;The Lousianan Empire;;;;;;;;;;;;;;x
ULA_ADJ;Louisianan;;;;;;;;;;;;;x;;
AMA;Amerikayi Hayastan;;;;;;;;;;;;;;
AMA_ADJ;Hayastani;;;;;;;;;;;;;;
AMA_democracy;New Armenia;;;;;;;;;;;;;x;;
AMA_bourgeois_dictatorship;The State of Hayastan;;;;;;;;;;;;;;
AMA_absolute_monarchy;Grand Duchy of Hayastan;;;;;;;;;;;;x
AMA_prussian_constitutionalism;The Kingdom of New Armenia;;;;;;;;;;;;x
AMA_hms_government;The Kingdom of Hayastan;;;;;;;;;;;;x
AMA_fascist_dictatorship;Hayots’ Petut’yun;;;;;;;;;;;;;x;
AMA_socialist;Workingmen's Party;;;;;;;;;;;;x
AMA_communist;Hayastani Soviet;;;;;;;;;;;;x
AMA_fascist;Hayastan Whiteshirts;;;;;;;;;;;;x
AMA_reactionary;Hayastani Royals;;;;;;;;;;;;x
AMA_liberal;The Progressivists;;;;;;;;;;;;x
AMA_conservative;Hayastani Merchantry;;;;;;;;;;;;x
AMA_anarcho_liberal;Hayastani Anarchs;;;;;;;;;;;;x
AMK;Kurdistana Amerîka;;;;;;;;;;;;;;
AMK_ADJ;Kurdistani;;;;;;;;;;;;;;
AMK_democracy;Mala Kurdî Ya Nû;;;;;;;;;;;;;x;;
AMK_bourgeois_dictatorship;The State of New Kurdistan;;;;;;;;;;;;;;
AMK_absolute_monarchy;Padîsahiya Kurdan;;;;;;;;;;;;x
AMK_prussian_constitutionalism;Kingdom of New Kurdan;;;;;;;;;;;;x
AMK_hms_government;The Padîsahiya of New Kurdistan;;;;;;;;;;;;x
AMK_fascist_dictatorship;Împaratoriya Kurdan;;;;;;;;;;;;;x;
AMK_socialist;Socialist Party;;;;;;;;;;;;x
AMK_communist;Kurdish Communists;;;;;;;;;;;;x
AMK_fascist;Kurdish Fascists;;;;;;;;;;;;x
